Idade	Genero	Estado_civil	Renda_mensal	Refeicao_mais_frequente	Avaliacao_media_anterior	Influenciado_por_nota
36	Feminino	Solteiro	Mais de 5.000	Almoço	>= 4,5	1
26	Masculino	Solteiro	Até 5.000	Jantar	< 4,5	1
25	Masculino	Solteiro	Mais de 5.000	Café da manhã	>= 4,5	1
24	Masculino	Solteiro	Até 5.000	Lanches	>= 4,5	0
30	Masculino	Solteiro	Mais de 5.000	Café da manhã	>= 4,5	1
22	Masculino	Solteiro	Até 5.000	Jantar	< 4,5	1
27	Feminino	Solteiro	Mais de 5.000	Lanches	>= 4,5	0
21	Feminino	Solteiro	Até 5.000	Almoço	>= 4,5	0
21	Masculino	Solteiro	Mais de 5.000	Almoço	>= 4,5	1
22	Masculino	Solteiro	Até 5.000	Almoço	>= 4,5	0
30	Feminino	Solteiro	Mais de 5.000	Lanches	>= 4,5	1
23	Masculino	Solteiro	Mais de 5.000	Café da manhã	>= 4,5	1
30	Feminino	Solteiro	Até 5.000	Lanches	>= 4,5	0
26	Feminino	Solteiro	Mais de 5.000	Jantar	>= 4,5	1
21	Feminino	Casado	Mais de 5.000	Almoço	>= 4,5	1
34	Masculino	Solteiro	Mais de 5.000	Almoço	>= 4,5	0
24	Masculino	Solteiro	Até 5.000	Almoço	>= 4,5	1
31	Masculino	Solteiro	Mais de 5.000	Lanches	>= 4,5	1
26	Feminino	Solteiro	Até 5.000	Lanches	>= 4,5	0
20	Feminino	Solteiro	Mais de 5.000	Almoço	>= 4,5	1
18	Masculino	Solteiro	Mais de 5.000	Almoço	< 4,5	0
36	Masculino	Solteiro	Mais de 5.000	Jantar	< 4,5	0
44	Masculino	Outros	Mais de 5.000	Almoço	>= 4,5	1
21	Masculino	Casado	Mais de 5.000	Almoço	>= 4,5	1
26	Masculino	Solteiro	Mais de 5.000	Café da manhã	>= 4,5	0
21	Feminino	Solteiro	Mais de 5.000	Lanches	< 4,5	0
32	Masculino	Solteiro	Mais de 5.000	Café da manhã	>= 4,5	0
25	Feminino	Solteiro	Mais de 5.000	Jantar	< 4,5	1
36	Masculino	Outros	Mais de 5.000	Almoço	>= 4,5	0
31	Feminino	Solteiro	Até 5.000	Lanches	>= 4,5	0
29	Masculino	Casado	Mais de 5.000	Lanches	>= 4,5	1
30	Feminino	Solteiro	Até 5.000	Almoço	>= 4,5	1
19	Masculino	Solteiro	Mais de 5.000	Lanches	< 4,5	1
32	Feminino	Solteiro	Até 5.000	Café da manhã	>= 4,5	1
20	Masculino	Solteiro	Até 5.000	Café da manhã	>= 4,5	0
22	Masculino	Solteiro	Mais de 5.000	Almoço	>= 4,5	1
37	Masculino	Casado	Até 5.000	Almoço	< 4,5	1
33	Feminino	Solteiro	Mais de 5.000	Almoço	>= 4,5	1
31	Feminino	Solteiro	Mais de 5.000	Jantar	>= 4,5	1
21	Masculino	Solteiro	Mais de 5.000	Almoço	>= 4,5	1
40	Masculino	Casado	Mais de 5.000	Café da manhã	>= 4,5	0
31	Masculino	Solteiro	Mais de 5.000	Almoço	>= 4,5	1
19	Masculino	Casado	Mais de 5.000	Café da manhã	>= 4,5	1
30	Masculino	Casado	Mais de 5.000	Jantar	< 4,5	1
23	Feminino	Solteiro	Mais de 5.000	Almoço	>= 4,5	1
40	Feminino	Casado	Mais de 5.000	Café da manhã	>= 4,5	1
30	Masculino	Solteiro	Mais de 5.000	Café da manhã	>= 4,5	1
24	Masculino	Casado	Mais de 5.000	Almoço	>= 4,5	1
29	Feminino	Solteiro	Mais de 5.000	Lanches	< 4,5	0
22	Masculino	Solteiro	Até 5.000	Almoço	>= 4,5	1
28	Masculino	Casado	Mais de 5.000	Almoço	>= 4,5	1
40	Feminino	Casado	Até 5.000	Jantar	< 4,5	0
25	Feminino	Solteiro	Até 5.000	Jantar	< 4,5	1
34	Feminino	Casado	Mais de 5.000	Café da manhã	>= 4,5	1
44	Masculino	Solteiro	Até 5.000	Almoço	>= 4,5	0
26	Masculino	Casado	Mais de 5.000	Lanches	< 4,5	0
27	Masculino	Outros	Mais de 5.000	Jantar	>= 4,5	1
34	Masculino	Casado	Até 5.000	Lanches	>= 4,5	0
21	Feminino	Solteiro	Até 5.000	Café da manhã	>= 4,5	1
24	Feminino	Solteiro	Mais de 5.000	Café da manhã	>= 4,5	1
35	Masculino	Solteiro	Mais de 5.000	Jantar	>= 4,5	0
23	Feminino	Solteiro	Mais de 5.000	Café da manhã	< 4,5	0
19	Feminino	Solteiro	Até 5.000	Café da manhã	>= 4,5	0
18	Feminino	Solteiro	Mais de 5.000	Jantar	>= 4,5	1
27	Masculino	Solteiro	Até 5.000	Almoço	>= 4,5	1
35	Feminino	Solteiro	Mais de 5.000	Lanches	>= 4,5	0
24	Masculino	Casado	Até 5.000	Almoço	>= 4,5	0
