ID_Cliente	N_pedidos	Valor	Dist_m_restaurante	Tempo_m_entrega
51447	1	379	1.3	36
51598	33	4119	2.1	54
51648	16	1664	2.8	26
51712	22	12144	3	30
51717	2	1773	3.1	50
51785	3	1035	1.7	46
52249	1	146	2.5	36
52380	5	1731	1.8	55
52473	49	26214	2.3	59
52881	3	1330	1.7	18
52926	1	488	1.1	35
53137	3	1675	2.5	40
53341	1	1669	2.6	31
53453	13	2489	3.9	53
54174	2	324	2.3	44
54225	1	333	2.3	16
54378	1	91	2.4	22
54615	113	31708	1.2	49
54819	3	149	2.4	48
54935	19	8918	2	33
55060	29	15529	0.4	50
55242	7	3133	2.5	20
55751	8	525	2.5	44
55758	51	840	3	17
55770	27	5162	2.6	56
55967	1	10	2.1	22
55987	6	2137	1.5	28
56396	5	82	2	29
56465	1	204	3.8	33
56504	11	899	1.9	48
56545	1	268	3.2	24
56633	3	2609	2.2	22
56827	3	532	3.6	56
57160	6	604	2.3	25
57324	21	282	2.6	20
57506	1	395	2.7	38
57741	11	108	1.9	41
57875	9	1499	2.3	42
57891	5	3181	2.4	33
58186	1	577	2.5	28
58332	4	1755	1.4	26
58511	16	3827	2.3	39
58560	1	553	2.4	39
58650	7	680	3.6	44
58658	8	3713	2.4	21
58712	7	1514	2.3	43
58845	1	238	2.2	35
58878	31	3125	2.3	25
59160	1	1014	3.5	19
59220	33	2116	2.8	30
59497	2	890	3.5	50
59795	4	823	0.9	15
59866	7	3831	2.2	23
59901	13	569	3.6	23
59980	3	731	2.6	44
60004	5	1298	2.9	38
60289	80	11478	1.8	31
60721	2	169	3.8	39
60842	3	1492	3.1	18
60894	3	12	3.9	42
60968	6	2642	3.2	23
61450	1	261	1.6	28
61697	5	2735	2.8	50
61707	4	132	3.8	48
61776	9	2224	3.3	52
62325	3	1485	2.4	61
62586	1	38	2.7	34
62687	40	1399	3	35
62747	12	4852	2.2	15
62943	16	2904	1.7	21
63093	13	376	1.8	49
63152	1	43	2.4	48
63313	15	1231	3.2	29
63412	5	344	2	39
63738	2	1209	3	44
63847	8	819	2.6	55
64112	13	10251	2	21
64343	11	4323	2.8	56
64385	2	632	3	39
64471	13	4270	2.4	42
64780	6	2474	4.1	37
64782	20	1507	1.5	43
64805	5	677	2	49
64853	13	2710	1.7	49
64899	18	5922	2.2	18
64977	10	380	2.4	57
65167	4	438	3	57
65218	6	1941	4.3	57
65345	7	1729	2.2	21
65547	2	409	1.9	37
65576	1	94	3	59
66036	3	684	2.2	48
66132	2	871	3.7	53
66166	23	3455	1.5	20
66353	2	495	3.7	37
66367	3	83	2.3	59
66406	1	116	0.4	48
66500	17	1539	2.7	44
66549	14	9767	2.8	56
67313	22	3000	1.8	51
67336	29	13255	2.9	47
67505	10	1159	2.1	23
67657	2	620	1.2	44
67669	7	4366	3.1	45
67720	1	429	1.7	23
67729	2	302	1.3	25
67814	13	3525	2.6	18
67943	32	26095	2.6	18
68097	4	763	1.4	53
68104	2	335	2.7	31
68157	5	159	3.2	42
68377	11	8987	3.1	18
68420	2	86	2.7	19
68486	15	12033	2.5	45
68560	28	8741	2.1	18
68591	5	1007	4.1	29
68595	16	6498	2.3	31
68689	9	2888	2.1	58
68731	3	455	2	35
68761	11	2278	2.6	37
68771	16	3189	2.6	42
68944	1	361	2.7	53
69052	3	1165	2.3	29
69536	78	6180	1.9	19
69540	10	5384	2.2	15
69542	1	306	1.8	39
69633	21	6996	2.7	56
69739	6	8287	3.9	51
69820	1	656	4.7	46
70208	6	758	3	47
70371	13	2817	2.6	29
70399	2	445	4.1	35
70406	1	359	3.3	66
70412	3	277	0.6	35
70798	1	355	2.4	22
70931	1	680	2.9	37
71000	1	247	2.6	21
71231	12	994	2.9	47
71349	20	1026	1.7	41
71379	1	287	1	16
71824	1	51	3.6	52
72099	3	2864	2.3	60
72214	3	107	3.7	60
72450	2	1907	3.1	21
72503	12	206	2.7	42
72507	17	2044	3.8	26
72508	8	3461	2.6	46
72594	2	103	2.7	60
72856	2	67	2.7	42
72894	2	318	1.8	34
73063	14	10923	1.6	45
73230	1	304	1.5	42
73614	1	239	1.1	30
73647	13	8220	3	29
73669	13	1775	2.5	53
73859	1	334	2.4	27
73871	3	2446	1.5	23
73929	1	53	1.5	29
74162	17	4715	1.8	45
74317	39	22017	2.1	27
74475	34	2082	2.8	23
74695	37	8266	4.1	19
74806	14	2723	1.9	15
74952	1	184	2.6	56
75244	2	389	0.9	34
75353	2	1550	3.7	29
75386	12	8646	3	38
75480	2	760	1.5	23
75519	3	1215	2.1	61
75645	8	3062	2.2	39
75699	5	1414	4.2	29
75849	11	2126	1.6	47
75907	1	259	4.2	20
75992	2	1488	1.8	57
76109	7	1748	2.9	32
76145	8	3906	1.8	54
76436	7	511	3.1	38
76648	5	2694	3.1	23
76713	2	660	0.5	25
76861	1	56	1.3	23
76900	18	3537	2.3	49
77002	12	407	2.6	16
77089	2	1353	1.5	20
77109	12	4825	3.9	19
77212	34	9777	1.8	27
77342	17	5281	1.5	25
77377	5	2085	2.8	31
77400	1	94	3.3	46
77447	23	11226	1.9	52
77585	2	128	2.6	43
77762	4	1224	2.4	17
77925	30	9210	1.2	15
78106	3	445	2	18
78245	26	8993	4.3	21
78328	2	529	1.2	50
78346	19	7845	1.9	37
78434	1	140	1.9	52
78648	1	370	1.5	25
78978	1	571	2.2	34
79068	5	1613	1.7	41
79426	18	4212	2.3	49
79840	10	10099	1.9	22
79872	46	28538	2.5	38
79938	2	222	2.9	25
80017	7	869	3	40
80047	8	3828	3	20
80058	1	279	3.2	51
80160	8	1481	0.5	30
80250	3	514	3.6	49
80473	2	791	0.2	43
80550	7	1812	2.2	31
80615	6	2786	1.8	41
80779	1	574	1.9	74
80903	3	500	2.2	29
80909	32	7659	1.5	16
80955	2	1090	1.7	19
80992	22	13250	1.3	29
81053	15	4725	1.9	35
81062	4	1089	3.8	57
81076	7	869	3.1	27
81079	1	275	1.7	45
81090	3	510	2.6	57
81235	2	2397	2.4	62
81282	1	123	4.3	53
81366	9	6099	0.9	28
81385	2	5755	2.1	57
81538	2	258	3.5	46
81574	12	1754	3.3	37
81591	2	859	2.1	29
81739	7	877	1	39
81782	1	571	4.9	29
81950	6	5767	1.6	16
82397	13	2745	2.6	57
82474	1	261	2.3	52
82487	18	2678	1.7	32
82754	84	2901	3	52
82795	1	410	2.8	51
83101	3	697	3	57
83330	19	4951	2.4	47
83400	1	218	1.3	18
83473	1	1427	4.5	50
84081	42	41119	2.1	22
84106	2	641	2.8	47
84158	2	801	2.8	51
84354	10	1526	2.1	28
84389	1	10	2.8	37
84547	3	116	1.7	32
84726	2	375	1.9	42
84826	2	210	3.9	40
84881	2	813	2.1	48
84892	5	1612	0.9	27
84969	13	472	2.7	57
84976	13	6816	2.1	44
85001	18	3219	2.6	22
85167	11	7599	3.1	33
85245	8	2719	1.5	46
85331	2	1106	4.7	25
85583	6	605	3.5	32
85648	5	1191	1.8	50
85870	3	246	2.5	31
86208	7	1199	2.9	47
86217	1	81	1.6	22
86221	29	6139	1.4	25
86380	2	135	3.1	55
86454	12	7155	3.4	42
86552	9	6266	2	52
86610	7	1305	2.5	45
86639	7	6068	2.5	40
86950	1	881	4.1	26
86969	1	181	1.6	34
86995	2	1014	1.4	24
86997	105	32454	3.3	56
87000	15	5497	2.2	17
87048	12	3124	1.2	26
87557	7	743	2.8	49
87573	7	4317	2	16
87625	3	742	3.2	40
87658	1	466	3.5	20
87792	5	2566	1.8	34
88247	1	277	2.6	65
88466	3	198	2.3	51
88545	4	289	1.8	48
88624	15	1937	2.8	19
88906	11	2069	2	26
88959	4	29	1.3	17
89303	2	551	1.7	41
89312	9	1830	2.6	32
89597	2	43	2.6	57
89598	1	880	0.8	34
89612	3	1581	1.6	41
89660	1	308	1.1	66
89672	52	6034	3.1	28
89675	5	568	2	37
89732	2	674	1.6	32
89789	13	2721	2.5	21
90165	10	691	1.8	21
90248	8	2311	1.7	37
90479	2	196	2.9	58
90537	16	4584	1.4	47
90612	1	49	3.1	30
91318	1	457	1.8	57
91514	2	972	2.4	20
91520	29	6858	1.8	17
91545	7	3710	1	35
91653	8	5462	2.8	34
91731	13	3293	2.2	36
91956	78	1476	3.2	37
91963	3	449	3.1	16
92118	21	3649	2.1	24
92516	22	5425	3	40
92760	1	266	3.3	53
92856	11	598	2.3	38
92962	13	4225	2.3	39
93061	12	1809	2.7	33
93435	33	19595	2	55
93619	1	105	3.7	52
93737	19	4452	2.2	36
93745	13	3001	2.9	55
93747	2	350	0	57
93931	4	4432	1.2	37
94002	2	1180	1.8	25
94091	2	28	3.7	33
94233	8	1126	1.5	55
94397	1	1615	2.4	41
94758	9	1500	2	55
95031	25	12588	1.8	38
95226	6	1175	2.7	48
95244	16	6453	2.5	36
95315	68	25226	1.6	31
95421	5	1030	2.9	21
95431	5	158	1.8	28
95722	6	162	2.1	42
95869	1	370	2.8	33
95955	7	5640	1.6	39
95966	1	156	1.9	20
96244	6	1364	2.2	38
96298	15	1437	1.5	16
96331	79	8289	1.7	17
96663	1	2195	2.8	46
96725	8	2445	2.8	28
97050	2	630	3	58
97064	22	2813	4.1	30
97283	9	1228	2.2	45
97510	10	237	3	51
97528	2	17	1.2	52
97730	5	948	3.5	35
97798	14	6869	2.1	23
97834	3	622	3.8	59
97871	4	1134	2	55
97979	11	3005	3.7	30
97992	7	527	2.8	15
98143	7	1137	2.9	49
98264	2	877	3.4	25
98355	1	409	3.6	61
98424	2	676	1.1	39
98584	20	11265	3	25
98652	15	4461	2.3	41
98997	45	12682	3	51
99047	4	2307	2.5	47
99076	64	5717	2.3	36
99464	18	6716	3.2	21
99665	2	231	1.2	51
99927	2	43	1.5	21
100009	3	1002	1.2	54
100125	1	361	4.7	48
100155	1	290	3.1	19
100294	27	1977	1.7	29
100519	36	3286	3.8	54
100522	2	220	2.5	51
100660	2	691	2.7	32
100734	3	391	1.5	39
100746	1	230	0.8	26
100777	3	1288	2.3	46
100972	15	4757	3.2	24
101030	3	1270	2.6	27
101031	22	8396	2.2	31
101263	5	3934	2.5	40
101289	6	2791	3.4	58
101327	6	1639	3.6	56
101435	2	372	1.4	58
101508	1	528	2.4	16
101854	2	436	2.3	19
101880	18	3200	1.9	35
102416	15	5699	2.3	56
102440	12	766	3.4	60
102489	6	885	1.2	43
102501	14	2242	3.5	58
102619	20	4801	3.7	45
102695	16	5799	2.7	33
102877	2	1056	3.2	17
102931	5	2258	2.9	48
102967	2	376	2	54
103058	2	157	3.5	59
103131	3	391	3.5	25
103166	41	9283	2.5	33
103389	2	916	3.5	22
103885	2	293	0.8	61
104057	1	271	1.3	54
104192	1	92	2.5	25
104361	11	4479	2.5	61
104625	5	113	1.9	31
104643	1	138	0.4	18
104656	42	5674	1.8	31
105311	19	1729	1.9	15
105629	5	1160	1.1	20
105670	6	460	2.1	27
105776	15	7548	2.4	44
105870	4	776	2.1	58
106406	3	85	1.2	47
106675	3	799	0.9	34
106723	3	126	1.3	33
106834	23	5207	3	44
106843	3	109	2.9	58
106902	1	591	2.8	36
106966	1	223	4	54
107003	7	2066	2.4	15
107226	26	33868	1.7	33
107297	1	92	2	42
107359	2	203	0.9	18
107378	15	3642	2.6	35
107562	7	551	1.4	29
107579	3	1644	0.9	16
107612	4	1787	2	36
108292	3	988	2.8	27
108390	10	2783	2.9	56
108463	2	77	3	27
108472	3	1927	2.1	15
108601	2	74	2.7	44
108682	1	185	2.1	31
108724	13	3910	1.6	16
108768	4	735	2.1	15
108952	33	10345	1.7	20
109003	9	5661	3.5	60
109008	1	61	3	17
109025	1	31	3.4	71
109190	1	2226	0.8	21
109347	33	16794	1.6	34
109650	2	97	0.5	38
109684	37	9828	2.1	23
